单价,建筑面积,总楼层数,室数,厅数,卫数,区_encoded,板块_encoded,楼层位置_encoded,房屋朝向_encoded,装修情况_encoded,建筑类型_encoded,建筑结构_encoded,交易权属_encoded,房屋用途_encoded,配备电梯_encoded,产权所属_encoded,总价
13029.0,88.27,26,3,2,1,2,28,1,17,0,4,1,0,4,2,1,1150000.0
19181.0,138.16,9,3,2,2,1,45,2,20,3,0,5,0,4,2,1,2650000.0
31434.0,93.85,20,3,2,1,8,1,0,17,3,5,5,0,4,1,1,2950000.0
14420.0,93.62,18,2,1,1,2,46,2,17,0,4,5,0,4,2,1,1350000.0
6271.0,55.82,3,1,0,0,6,70,1,29,0,5,5,0,1,1,1,350000.0
13882.0,106.62,6,3,2,1,8,31,0,17,3,5,5,2,4,0,1,1480000.0
8388.0,131.15,8,4,2,2,4,51,1,17,1,2,1,0,4,1,1,1100000.0
18728.0,90.24,18,3,2,1,9,87,2,17,3,5,5,0,4,2,1,1690000.0
36771.0,119.39,33,3,2,2,8,86,1,17,0,4,5,0,4,2,1,4390000.0
19759.0,93.63,18,3,1,1,6,90,1,17,3,0,5,2,4,2,0,1850000.0
18545.0,114.86,8,4,2,2,5,60,0,17,1,5,5,0,4,1,0,2130000.0
11405.0,42.09,9,2,1,1,1,45,0,17,3,5,4,0,4,2,1,480000.0
8933.0,91.8,18,2,2,1,1,48,2,17,2,4,5,0,4,2,1,820000.0
21617.0,77.72,21,2,1,1,8,44,2,17,2,4,5,0,4,2,1,1680000.0
24060.0,93.52,7,4,2,2,8,82,0,13,3,4,4,0,4,0,1,2250000.0
18483.0,113.08,6,3,2,2,8,3,2,20,2,5,5,0,4,0,1,2090000.0
20264.0,138.18,30,3,2,2,1,45,1,17,1,0,5,0,4,2,1,2800000.0
20775.0,80.87,6,2,1,1,6,84,2,20,3,5,5,0,4,0,1,1680000.0
24810.0,86.66,8,3,1,1,6,90,1,17,0,5,5,0,4,2,1,2150000.0
22147.0,88.5,26,3,2,1,6,90,1,17,3,5,5,0,4,2,1,1960000.0
35327.0,101.34,18,3,2,1,8,82,0,17,2,5,5,0,4,2,1,3580000.0
23249.0,101.08,20,3,2,2,6,90,0,17,1,5,1,0,4,2,0,2350000.0
32111.0,129.24,18,4,2,2,9,35,0,17,3,5,5,0,4,2,1,4150000.0
22391.0,93.79,11,2,1,1,8,86,0,20,1,2,0,2,4,1,1,2100000.0
8216.0,93.73,26,3,2,2,4,51,0,17,0,5,5,0,4,2,1,770000.0
21058.0,106.85,6,3,2,1,6,65,0,20,3,5,2,0,4,0,1,2250000.0
22219.0,137.72,23,4,2,2,9,35,1,20,3,5,5,0,4,1,1,3060000.0
22016.0,55.87,7,2,1,1,8,89,0,17,1,5,5,0,4,0,1,1230000.0
12789.0,87.58,33,2,1,1,8,86,2,13,3,4,5,0,4,2,1,1120000.0
22458.0,70.8,18,2,1,1,9,35,2,20,3,5,2,0,4,0,1,1590000.0
29019.0,125.78,23,3,1,2,9,35,2,17,3,5,5,0,4,2,1,3650000.0
18737.0,143.57,6,4,2,2,1,45,2,20,3,5,5,0,4,2,0,2690000.0
27071.0,31.4,6,2,1,1,6,18,0,17,3,5,4,0,4,1,1,850000.0
20737.0,75.23,6,2,2,1,1,85,2,17,0,5,5,0,4,0,1,1560000.0
9458.0,44.94,21,1,1,1,5,57,1,27,3,4,5,0,2,2,1,425000.0
25010.0,81.97,17,3,2,1,9,35,1,17,3,5,5,0,4,1,1,2050000.0
10522.0,114.05,30,3,2,2,1,48,1,17,1,4,5,0,4,2,0,1200000.0
23394.0,87.63,15,3,2,1,5,60,0,17,3,5,5,0,4,2,1,2050000.0
28663.0,125.6,27,3,2,1,8,81,0,17,1,5,5,0,4,2,1,3600000.0
24387.0,69.71,10,2,1,1,8,44,0,17,3,4,5,0,4,2,0,1700000.0
23784.0,128.24,11,4,2,2,3,41,0,17,1,0,0,0,4,2,1,3050000.0
11127.0,124.03,9,4,2,2,2,28,1,17,3,5,5,0,4,1,1,1380000.0
17961.0,77.39,6,3,2,1,5,60,2,20,3,5,5,0,4,0,1,1390000.0
