单价,建筑面积,总楼层数,室数,厅数,卫数,人均面积,楼层密度,厅室比,卫室比,总房间数,单价等级,面积等级,区域均价,区域中位价,区域价格标准差,区域房源数,相对价格指数,区_encoded,板块_encoded,楼层位置_encoded,房屋朝向_encoded,装修情况_encoded,建筑类型_encoded,建筑结构_encoded,交易权属_encoded,房屋用途_encoded,配备电梯_encoded,产权所属_encoded,总价
16696.0,125.78,18,3,1,2,31.445,6.62,0.25,0.5,6,1,2,2173067.729083665,1990000.0,977382.160362272,251,0.966375325314963,9,86,0,20,1,4,3,0,4,2,1,2100000.0
30457.0,137.9,32,4,2,2,27.580000000000002,4.178787878787879,0.4,0.4,8,3,3,2711766.8711656444,2500000.0,1329556.3519404833,978,1.5488051336026207,8,88,1,17,3,3,5,0,4,2,1,4200000.0
38343.0,119.45,18,3,2,2,29.8625,6.286842105263158,0.5,0.5,7,4,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.688935121880953,8,7,1,17,3,3,5,0,4,2,1,4580000.0
15428.0,57.04,5,2,1,1,19.013333333333332,9.506666666666666,0.3333333333333333,0.3333333333333333,4,1,0,1875364.5484949832,1800000.0,855438.6591359673,299,0.46924185031884413,1,38,0,17,3,0,5,0,4,0,1,880000.0
38493.0,136.91,8,4,2,2,27.381999999999998,15.212222222222222,0.4,0.4,8,4,3,2374983.935742972,2080000.0,1266402.7666910856,249,2.218961442949689,5,63,2,17,1,4,5,0,4,1,1,5270000.0
15660.0,126.44,7,3,2,2,31.61,15.805,0.5,0.5,7,1,2,2173067.729083665,1990000.0,977382.160362272,251,0.9111538781541079,9,34,0,17,3,4,1,0,4,0,0,1980000.0
35981.0,88.66,28,3,2,1,22.165,3.057241379310345,0.5,0.25,6,4,1,2711766.8711656444,2500000.0,1329556.3519404833,978,1.1763543752838952,8,81,1,17,3,4,5,0,4,2,0,3190000.0
28302.0,128.97,8,4,2,2,25.794,14.33,0.4,0.4,8,3,3,2048187.9432624113,1840000.0,968698.6620355729,564,1.7820621539857453,6,89,1,17,3,3,2,0,4,2,1,3650000.0
17818.0,90.92,18,3,2,1,22.73,4.785263157894737,0.5,0.25,6,1,1,2173067.729083665,1990000.0,977382.160362272,251,0.7454895366715428,9,86,2,17,3,4,5,0,4,2,1,1620000.0
23763.0,107.31,21,3,2,2,26.8275,4.877727272727273,0.5,0.5,7,2,2,2173067.729083665,1990000.0,977382.160362272,251,1.1734557521681692,9,86,0,17,1,3,5,0,4,2,1,2550000.0
26586.0,92.53,7,3,1,1,23.1325,11.56625,0.25,0.25,5,2,1,2048187.9432624113,1840000.0,968698.6620355729,564,1.2010610681657352,6,87,1,17,3,4,5,0,4,0,1,2460000.0
6130.0,97.89,29,3,2,1,24.4725,3.263,0.5,0.25,6,0,2,853969.1358024691,830000.0,286526.62766007404,162,0.7026006822079143,4,50,2,17,1,4,2,0,4,1,1,600000.0
12337.0,130.51,6,4,2,2,26.101999999999997,18.64428571428571,0.4,0.4,8,1,3,853969.1358024691,830000.0,286526.62766007404,162,1.8853118305912366,4,50,2,17,1,2,0,0,4,1,1,1610000.0
8081.0,100.86,33,3,2,1,25.215,2.966470588235294,0.5,0.25,6,0,2,853969.1358024691,830000.0,286526.62766007404,162,0.9543659266657503,4,50,1,17,3,4,5,0,4,2,1,815000.0
26034.0,128.68,23,3,2,2,32.17,5.361666666666667,0.5,0.5,7,2,3,2173067.729083665,1990000.0,977382.160362272,251,1.541598733240536,9,86,2,17,3,4,5,0,4,2,1,3350000.0
10431.0,75.74,10,3,2,1,18.935,6.885454545454545,0.5,0.25,6,0,1,1587584.9056603773,1450000.0,685073.8431271552,53,0.4976108676597183,3,91,0,17,3,2,0,0,4,1,0,790000.0
22748.0,77.37,6,2,2,1,25.790000000000003,11.052857142857144,0.6666666666666666,0.3333333333333333,5,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.6490231036049077,8,60,1,17,3,4,5,0,4,0,1,1760000.0
8315.0,108.24,33,3,2,2,27.06,3.183529411764706,0.5,0.5,7,0,2,853969.1358024691,830000.0,286526.62766007404,162,1.0539010233118715,4,50,0,17,3,4,5,0,4,2,1,900000.0
29074.0,93.83,26,4,0,3,18.766,3.475185185185185,0.0,0.6,7,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.005985810587607,8,80,1,20,2,4,5,0,4,2,1,2728000.0
23849.0,117.41,24,3,2,2,29.3525,4.6964,0.5,0.5,7,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.0325367557350804,8,81,2,17,1,4,5,2,4,2,1,2800000.0
21403.0,109.8,18,3,2,2,27.45,5.778947368421052,0.5,0.5,7,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.1473550854428771,6,89,1,17,1,0,5,0,4,2,1,2350000.0
21193.0,106.64,11,2,1,1,35.54666666666667,8.886666666666667,0.3333333333333333,0.3333333333333333,4,2,2,2173067.729083665,1990000.0,977382.160362272,251,1.0400039215294363,9,86,1,17,0,3,5,0,4,2,1,2260000.0
23232.0,58.11,24,1,1,1,29.055,2.3244,0.5,0.5,3,2,0,2711766.8711656444,2500000.0,1329556.3519404833,978,0.49783022151512807,8,0,2,17,3,4,5,0,4,2,0,1350000.0
25720.0,71.93,8,3,1,1,17.9825,7.992222222222223,0.25,0.25,5,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.6822117850392496,8,46,0,17,2,4,4,0,4,0,1,1850000.0
29465.0,72.97,6,2,2,1,24.323333333333334,10.424285714285714,0.6666666666666666,0.3333333333333333,5,3,1,2048187.9432624113,1840000.0,968698.6620355729,564,1.0497078441285896,6,26,2,17,3,4,4,0,4,0,1,2150000.0
8028.0,47.21,18,1,1,1,23.605,2.484736842105263,0.5,0.5,3,0,0,2711766.8711656444,2500000.0,1329556.3519404833,978,0.1397612251512841,8,85,0,15,3,3,5,0,4,2,1,379000.0
19151.0,64.75,10,2,1,1,21.583333333333332,5.886363636363637,0.3333333333333333,0.3333333333333333,4,1,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.605412896148582,6,83,1,17,0,0,5,2,4,2,0,1240000.0
24651.0,113.59,7,3,2,1,28.3975,14.19875,0.5,0.25,6,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.0325367557350804,8,46,0,20,3,4,5,0,4,0,1,2800000.0
6418.0,96.61,29,3,1,1,24.1525,3.2203333333333335,0.25,0.25,5,0,2,853969.1358024691,830000.0,286526.62766007404,162,0.726020704948178,4,50,1,17,0,4,5,0,4,1,1,620000.0
14523.0,88.14,10,2,2,1,29.38,8.012727272727274,0.6666666666666666,0.3333333333333333,5,1,1,1875364.5484949832,1800000.0,855438.6591359673,299,0.6825336004637733,1,33,2,17,0,3,5,0,4,2,1,1280000.0
19424.0,127.68,28,4,2,2,25.536,4.402758620689656,0.4,0.4,8,2,3,2711766.8711656444,2500000.0,1329556.3519404833,978,0.9145325550796427,8,30,1,17,1,3,5,0,4,2,1,2480000.0
25469.0,127.61,7,4,2,2,25.522,15.95125,0.4,0.4,8,2,3,2048187.9432624113,1840000.0,968698.6620355729,564,1.5867676713571703,6,83,2,20,3,3,5,0,4,2,1,3250000.0
24015.0,87.03,33,3,1,1,21.7575,2.559705882352941,0.25,0.25,5,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.7707149355308279,8,0,1,17,0,4,5,0,4,2,1,2090000.0
19400.0,81.96,6,2,1,1,27.319999999999997,11.708571428571428,0.3333333333333333,0.3333333333333333,4,2,1,2173067.729083665,1990000.0,977382.160362272,251,0.7316841748813291,9,34,0,20,3,4,5,0,4,0,0,1590000.0
32707.0,84.08,28,2,2,1,28.026666666666667,2.8993103448275863,0.6666666666666666,0.3333333333333333,5,3,1,2711766.8711656444,2500000.0,1329556.3519404833,978,1.0140985993826683,8,7,1,17,3,4,5,0,4,2,1,2750000.0
9420.0,53.08,21,1,1,1,26.54,2.4127272727272726,0.5,0.5,3,0,0,2374983.935742972,2080000.0,1266402.7666910856,249,0.2105276511337466,5,56,1,17,3,3,5,0,2,2,1,500000.0
14986.0,79.41,22,2,2,1,26.47,3.4526086956521738,0.6666666666666666,0.3333333333333333,5,1,1,1875364.5484949832,1800000.0,855438.6591359673,299,0.6345429566811642,1,33,1,17,0,3,5,0,4,2,1,1190000.0
19711.0,69.0,18,2,2,1,23.0,3.6315789473684212,0.6666666666666666,0.3333333333333333,5,2,1,2173067.729083665,1990000.0,977382.160362272,251,0.6258430678230236,9,74,2,17,3,3,5,0,4,2,1,1360000.0
22147.0,79.02,11,2,1,1,26.34,6.585,0.3333333333333333,0.3333333333333333,4,2,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.8544133615000148,6,89,1,17,3,4,1,2,4,0,1,1750000.0
11919.0,172.0,7,4,2,1,34.4,21.5,0.4,0.2,7,1,4,2048187.9432624113,1840000.0,968698.6620355729,564,1.000884223471446,6,83,2,17,3,4,4,0,4,0,1,2050000.0
22889.0,56.36,7,2,1,1,18.786666666666665,7.045,0.3333333333333333,0.3333333333333333,4,2,0,2048187.9432624113,1840000.0,968698.6620355729,564,0.6298247064771538,6,17,0,17,2,4,4,0,4,0,1,1290000.0
18213.0,82.36,6,2,1,1,27.453333333333333,11.765714285714285,0.3333333333333333,0.3333333333333333,4,1,1,2173067.729083665,1990000.0,977382.160362272,251,0.6902680895106879,9,74,2,13,1,3,5,0,4,0,1,1500000.0
20660.0,106.49,11,3,2,1,26.6225,8.874166666666666,0.5,0.25,6,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.0741196544571616,6,89,1,17,3,3,5,0,4,0,1,2200000.0
8100.0,111.12,27,3,2,2,27.78,3.968571428571429,0.5,0.5,7,0,2,853969.1358024691,830000.0,286526.62766007404,162,1.0539010233118715,4,50,1,20,3,4,5,0,4,2,1,900000.0
35327.0,101.34,18,3,2,1,25.335,5.333684210526316,0.5,0.25,6,3,2,2711766.8711656444,2500000.0,1329556.3519404833,978,1.32017199483271,8,81,0,17,2,4,5,0,4,2,1,3580000.0
26697.0,88.4,21,3,2,1,22.1,4.0181818181818185,0.5,0.25,6,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.8702809798338536,8,30,0,20,3,0,5,0,4,1,0,2360000.0
18591.0,128.56,9,3,2,2,32.14,12.856,0.5,0.5,7,1,3,2173067.729083665,1990000.0,977382.160362272,251,1.0998271559536958,9,34,1,17,3,3,5,0,4,2,1,2390000.0
8933.0,91.8,18,2,2,1,30.599999999999998,4.8315789473684205,0.6666666666666666,0.3333333333333333,5,0,1,1875364.5484949832,1800000.0,855438.6591359673,299,0.4372480877971048,1,47,2,17,2,3,5,0,4,2,1,820000.0
11906.0,46.87,30,1,1,1,23.435,1.5119354838709678,0.5,0.5,3,1,0,1875364.5484949832,1800000.0,855438.6591359673,299,0.2975419914521762,1,44,0,17,3,0,5,0,2,2,1,558000.0
27300.0,72.53,6,2,1,1,24.176666666666666,10.361428571428572,0.3333333333333333,0.3333333333333333,4,2,1,2711766.8711656444,2500000.0,1329556.3519404833,978,0.7301509915555212,8,80,2,17,3,4,5,2,4,0,1,1980000.0
14598.0,80.15,17,2,2,1,26.71666666666667,4.452777777777778,0.6666666666666666,0.3333333333333333,5,1,1,1875364.5484949832,1800000.0,855438.6591359673,299,0.6238783691739178,1,33,1,17,2,3,5,0,4,2,1,1170000.0
32376.0,38.61,7,1,1,1,19.305,4.82625,0.5,0.5,3,3,0,2173067.729083665,1990000.0,977382.160362272,251,0.5752234079255731,9,39,0,17,2,2,0,0,4,1,1,1250000.0
22543.0,97.15,14,3,1,1,24.2875,6.4766666666666675,0.25,0.25,5,2,2,2048187.9432624113,1840000.0,968698.6620355729,564,1.069237292391447,6,83,1,17,3,4,5,0,4,2,1,2190000.0
11112.0,76.5,6,2,1,1,25.5,10.928571428571429,0.3333333333333333,0.3333333333333333,4,0,1,1587584.9056603773,1450000.0,685073.8431271552,53,0.5354040981148868,3,72,0,17,2,4,2,0,4,0,0,850000.0
19489.0,100.06,18,3,2,1,25.015,5.266315789473684,0.5,0.25,6,2,2,2173067.729083665,1990000.0,977382.160362272,251,0.8973485163638941,9,86,1,17,3,4,5,0,4,2,1,1950000.0
22271.0,86.66,8,3,1,1,21.665,9.628888888888888,0.25,0.25,5,2,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.9422958786828736,6,89,0,17,3,4,5,0,4,2,1,1930000.0
43044.0,130.1,18,4,2,2,26.02,6.847368421052631,0.4,0.4,8,4,3,2374983.935742972,2080000.0,1266402.7666910856,249,2.357909692697962,5,29,0,17,3,2,0,0,4,1,1,5600000.0
22391.0,93.79,11,2,1,1,31.263333333333335,7.815833333333334,0.3333333333333333,0.3333333333333333,4,2,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.7744025668013104,8,85,0,20,1,2,0,2,4,1,1,2100000.0
22709.0,86.31,27,3,2,1,21.5775,3.0825,0.5,0.25,6,2,1,2048187.9432624113,1840000.0,968698.6620355729,564,0.9569429648800166,6,89,2,17,3,0,5,0,4,2,0,1960000.0
23804.0,111.33,22,3,2,2,27.8325,4.840434782608695,0.5,0.5,7,2,2,2173067.729083665,1990000.0,977382.160362272,251,1.219473624802215,9,86,2,20,3,4,5,0,4,2,0,2650000.0
18688.0,108.63,17,3,2,2,27.1575,6.035,0.5,0.5,7,1,2,2711766.8711656444,2500000.0,1329556.3519404833,978,0.7485891479079333,8,30,2,17,1,2,5,2,4,2,1,2030000.0
